	id	name	Q1	Q2	Q3	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12
137	470	Malta	0	0	0	0	0	169	465	618	670	824	1883	3058	6042	9873	11992
138	474	Martinique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	478	Mauritania	0	0	0	0	0	6	8	530	4363	6310	7048	7502	7703	8601	12944
140	480	Mauritius	0	0	0	0	0	143	332	335	341	344	356	381	441	504	527
141	484	Mexico	-1.23751342	-16.950964949	12.118183042	0	4	1215	19224	90664	226089	424637	599560	743216	924962	1113543	1350079
142	492	Monaco	0	0	0	0	0	353	3897	8251	16613	24733	36920	53042	76040	107364	138213
143	496	Mongolia	0	0	0	0	1	52	95	99	103	120	154	218	359	609	767
144	498	Moldova, Republic of	0	0	0	0	0	12	38	179	220	291	304	313	346	801	1069
145	499	Montenegro	0	0	0	0	0	109	322	324	548	3073	4835	10772	18341	35265	45062
146	500	Montserrat	0	0	0	0	0	617	4423	7807	12533	24322	62590	123653	219084	356336	423214
147	504	Morocco	0	0	0	0	0	8	76	254	889	1864	3916	8728	12869	15701	17767
148	508	Mozambique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	512	Oman	0	0	0	0	6	192	2348	11437	40070	79159	85722	98585	114434	123699	128236
150	516	Namibia	0	0	0	0	0	11	16	24	205	2129	7550	11265	12935	14380	19984
151	520	Nauru	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	524	Nepal	0	0	0	1	1	5	57	1572	13564	19771	39460	77817	170743	233452	255979
153	528	Netherlands	-1.494445659	-8.542121912	7.683129545	0	6	12667	39512	46645	50483	54590	73232	125988	357640	531930	731902
154	531	Cura?§ao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	533	Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	534	Sint Maarten (Dutch part)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	535	Bonaire, Sint Eustatius and Saba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	540	New Caledonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	548	Vanuatu	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
